,0,1,2,3,4,5,6,7,8,9
256_town,-0.568621,1.9814405,-0.3354479,-0.929066,-0.07113755,0.84829336,0.71321064,-0.45183736,-0.21382481,0.33248207
258_city,7.9316144,-5.1564693,-0.026419614,-0.0076714926,3.8116207,-4.336663,-4.1400867,-2.8682275,-3.465654,-0.8420092
258_rural,-3.7669196,2.8213243,1.1243834,-1.6267089,-3.0276544,1.7936002,1.4738133,4.7609196,1.9303273,0.08576451
258_town,5.8846955,-3.8763616,-1.2075132,0.16301037,2.5970361,-3.97421,-4.0759873,-1.220333,-2.2186236,-0.5353831
274_city,0.102417395,-2.1437526,0.31759506,-1.7929041,-1.8398615,-0.9536289,-1.8681194,0.5932876,-1.6445557,0.69562215
274_rural,1.8258723,-0.027207557,-1.4916344,-0.22463255,0.4278348,0.8066337,-0.7737191,-0.7058,-2.7865317,-0.7835672
274_town,-0.35146853,0.33834174,-1.1639476,-1.4315467,-0.91649944,-0.063738815,-2.5315576,1.1311203,-0.81818813,0.409459
275_city,2.370771,-1.5037136,0.7119153,-0.81300646,0.73249274,-0.79745007,-1.3283927,-2.4428122,-2.5547361,0.09518855
275_rural,1.6670831,-0.43612197,-0.34136266,-0.45576546,2.2939925,0.6137789,0.3927151,-1.896342,-2.9694915,-0.8780142
275_town,0.98284847,0.91966116,-1.1699594,-0.06268238,1.6395978,0.14966217,-1.5327958,-2.373533,-1.6282234,-0.02667931
276_city,1.1508883,-0.5424231,1.3038479,-0.42265576,0.901368,0.41457552,-0.12722029,-3.4959633,-1.8394067,-0.020055968
276_rural,0.7996228,0.7778039,-0.41625565,-0.9239915,2.7948513,1.2459155,-0.025217662,-3.0753787,-2.9751713,-1.419696
276_town,0.10249581,1.4964534,-0.7764547,-0.26659864,1.1231912,1.0727507,-0.7270988,-3.2566187,-0.79928035,0.010476875
277_city,5.4223824,-1.935221,0.95546097,1.0633711,4.834348,-1.9436207,-1.6992322,-6.3608303,-4.140839,-0.4508892
277_rural,2.8351543,0.20987242,-0.6371323,-0.12136919,4.0968924,0.31872636,0.1502303,-5.108566,-2.7666838,-0.5528441
277_town,5.6656437,-2.0841565,-0.9127955,0.58608997,5.877945,-1.999648,-3.099954,-5.40554,-3.7371378,0.03783136
283_city,1.988724,1.3453263,1.2274019,-0.83278096,2.023951,0.47260198,1.0262142,-3.6898313,-0.9529342,-0.03806105
283_rural,2.2467878,1.8230716,0.10281333,0.20600492,4.8322115,0.60828567,1.3598104,-5.583334,-2.4907193,-1.2886969
283_town,11.621004,-5.1147494,-1.2775829,1.4286549,9.491118,-4.673522,-5.3551984,-9.661017,-5.428266,-0.8688557
28_city,7.8255186,-2.8547273,0.14940949,1.2583879,7.1406617,-2.3945675,-2.5008438,-6.78511,-4.265082,-0.97641945
